review_title,review_text,review_rating
"
Awesome laptop
","
I have received the product and it is awesome.Exchanged my previous laptop(Lenovo) with the present Laptop (my new MacBook Air)😊
",4.0 out of 5 stars
"
Amazing
","
Been Using it for 2 weeks now and there is nothing bad I can say about it. Coming from a low end laptop, this laptop blows me away everytime. It's amazing. The Battery Life is so goood. Works for 10 hours straight in a day.
",5.0 out of 5 stars
"
Smooth, fast and lightweight
","
This is my first ever apple product. I can say it is really fast.I bought this for my personal use as well as software related task too.You should go for it or wait for next version to be released this year.
",5.0 out of 5 stars
"
Best laptop i have ever used.
","
It takes a lot to get a ""Best God-damn laptop"" from GeekyRanjit. And this MAc with M1 is the best i have ever used!lightening fast and consistent every single time. been 5 months now and works like a charm without any hiccups.
",5.0 out of 5 stars
"
Powerful machine
","
M1 chip is very fast MacBook Air
",5.0 out of 5 stars
"
Amazing Performance and very good battery life
","
M1 Chip has amazing Performance. You can definitely feel the Difference in terms of performance between Windows and MacVery Good Battery Life.
",5.0 out of 5 stars
"
Amazing laptop, great battery life and M1 chip makes it way faster than windows and previous macs
","
Amazing laptop with great battery life and M1 chip makes it way faster than windows and previous macs
",5.0 out of 5 stars
"
🥳
","
💝❤️🥳🥳😊
",5.0 out of 5 stars
"
Excellent Product I have Ever seen / used.
","
Screen & Camara quality is Superb...!
",5.0 out of 5 stars
"
Good product but bad pricing model
","
Product wise I would say very good like any other product from Apple. But the pricing was bad. The seller reduced the price to 5k the next day of my purchase within the Diwali sale which not right. I an cutting 2 rating for that.
",3.0 out of 5 stars
"
Awesome
","
Actually i am very much tensed after seeing the bad reviews but its awesome i had windows before mac is so much faster than that dell laptop that i had before i love it.🙂
",5.0 out of 5 stars
"
Most productive thing i did was to purchase this
","
Smooth exchange process from Amazon.And apple M1 is brilliant
",5.0 out of 5 stars
"
Best in the segment.
","
Quintessential.
",5.0 out of 5 stars
"
The laptop is recently bough but hangs a lot. Restarted a few times, apple support team sugg
","
The laptop is slow already. Disappointing
",3.0 out of 5 stars
"
Wooh!
","
Bro jo bhi le na bs aakh band kar k le lena pr apne mummy papa se puch kar hi lena vase toh bht hi bdiya laptop hai har spec.😀
",5.0 out of 5 stars
"
Great product, nothing to complain about.
","
Apple delivers great product as usual. Super battrey life, responsive touch button.  Only problem, these products are too expensive and no USB ports.Suoer fast delivery by Amazon.
",4.0 out of 5 stars
"
Great!!!!
","
It's just a awesome.. Amazing experience
",5.0 out of 5 stars
"
Mac is a Mac is a mac
","
Working in Mac is always something different. Using Macbook air for 5 years. Upgraded to M1....Fast fast fast
",5.0 out of 5 stars
"
Fast and reliable
","
This laptop is extremely fast and has a long battery life. Been using it for normal daily use since last 6 months and it never hanged even once. Also the speakers are great! I love this laptop
",5.0 out of 5 stars
"
Nice Packaging with safety
","
I love the power of Apple M1 Chip . And light weight ness of Air.
",5.0 out of 5 stars
"
Fast and sleek
","
It is probably 20 k more expensive with exchange and discounts as compared to US, but I did check the prices at store too it's almost the same range
",4.0 out of 5 stars
"
Superb and Superb.  the best.
","




                    The media could not be loaded.
                



 Only  can meet your expectations.
",5.0 out of 5 stars
"
The Best
","
One of the Best money can buy for you, period!
",5.0 out of 5 stars
"
Mind blowing laptop it is for daily normal usage.
","
The quality of screen, performance of laptop and portability is just unmatched.
",5.0 out of 5 stars
"
Please consider this instead of MacBook pro
","
Amazing product. Just go for it
",5.0 out of 5 stars
"
Good but Expensive Product .. more style statement than utility.
","
The product is amazing as every product from the stables of Apple. Absolutely super speed booting and very responsive apps. However, for a person looking. For value for money, there are cheaper options with other OS.
",5.0 out of 5 stars
"
Good
","
Good
",5.0 out of 5 stars
"
An efficient business machine
","
Great productPros:Very efficient battery lifeStylingEasy-to-useCons:The lack of ms office ....yu can buy it though
",5.0 out of 5 stars
"
Better then MacBook pro
","
Better then MacBook pro
",5.0 out of 5 stars
"
Good
","




                    The media could not be loaded.
                


",5.0 out of 5 stars
"
Excellent as expected
","
Excellent laptop.
",5.0 out of 5 stars
"
Touch pad patch
","
In less than one month  the touchpad lost its color or shine , and  a ugly looking patch is appearing now
",3.0 out of 5 stars
"
Very impressed
","
Working like a charm 😉
",5.0 out of 5 stars
"
MacBook Air M1
","
Excellent Sale
",5.0 out of 5 stars
"
Not to buy in 2021
","
Only problem is many app are not supported and virtual features is also not supported so window installation is not possible
",4.0 out of 5 stars
"
Awesome
","
Nice one to buy.Actually still feels bit overpriced but i got it for 50k after reimbursement.So definitely value for that money
",4.0 out of 5 stars
"
You'll not regret buying this.. unless you're a gamer..
","




                    The media could not be loaded.
                


",5.0 out of 5 stars
"
Its a beast 🤩
","
A small beast!!
",5.0 out of 5 stars
"
Won’t mind the cost for this performance
","
It is best device you can ever ask for, the sluggish behaviour of windows laptops is totally overwhelming by its speed and performance
",5.0 out of 5 stars
"
Speakers ain't that great.
","
Everything is fine but the speakers arenot really great when compared to the other laptops in the same price range.
",4.0 out of 5 stars
"
Best laptop hands down !!!
","
Apple is way better than microsoft in every sense. The laptop if fast ,sleek and extremely efficient . Dont think twice. It improved my productivity two folds and made working fun..
",5.0 out of 5 stars
"
One of the best MacBook Air ever
",,5.0 out of 5 stars
"
Best
","
All good
",5.0 out of 5 stars
"
Amazing
","
Too good
",5.0 out of 5 stars
"
style
","
Love it. Would have been happy all the useful software like office etc. were bundled with the Mac. One need to purchase , a hassle.
",5.0 out of 5 stars
"
Simply awesome product
","
Speed and speaker is awesome. First MacBook Air for me and really awesome
",5.0 out of 5 stars
"
Woooohooo
","
It's a magical product from Apple.Battery life 💯Not that light, but definitely lighter than other products in the market.
",5.0 out of 5 stars
"
Go for it
","
Go for it
",5.0 out of 5 stars
"
Value for money!
","
Amazing performance!! The M1 chip is no joke! Battery easily lasts for 15 hours with normal browsing and office use. Worth every penny!
",5.0 out of 5 stars
"
Amazing buy, just go for it
","
Battery Life - ExcellentWeight - Very lightPerformance - Outstanding as of nowValue for money - absolutely
",5.0 out of 5 stars
"
DEFECTIVE PRODUCT RECEIVED YESTERDAY, AMAZON REFUSES RETURN OR REPLACEMENT,ASKED TO CONTACT APPLE
","




                    The media could not be loaded.
                



 Received defective product MACBOOK AIR M1 yesterday.While unboxing and setting up NOTICED THAT THE MAC IS WOBBLY and MOVES UP AND DOWN ON USAGE. FOUND THE LEFT FRONT PAD SIDE NOT TOUCHING THE SURFACE ( tried it on other flat surfaces too ).LOTS OF SIMILAR COMPLAINTS IN THE PAST BY OTHER CUSTOMERS ( on Apple Support Forums, MacRumors and Reddit). TRIED RETURNING TO AMAZON WITHIN 30Mins, THEY REDIRECTED TO APPLE SUPPORT  WHO HAVE ASKED ME TO TAKE IT TO NEAREST SERVICE CENTRE. AMAZON REFUSED REPLACEMENT/RETURN THOUGH THEY STATE 7 DAYS REPLACEMENT. PATHETIC SERVICE AFTER SPENDING MORE THAN A LAKH OF RUPEES
",1.0 out of 5 stars
"
awesome :)
","
awesome :)
",5.0 out of 5 stars
"
Excellent !!
","
Excellent ... Just go for it , if you love Apple products.. The ones who are shifting from Windows will have to spend some time in learning !
",5.0 out of 5 stars
"
Although a good product
","
All though it is value for money.It`s way too high for indian standards.The previous version of Macbook is 68000 this is 93000the price should have been 78000 to 80000.
",5.0 out of 5 stars
"
Value for money
","
Beast!!!!!!
",5.0 out of 5 stars
"
Powerful Machine
","
I am using it for video editing and working awesome compare to any windows laptop so go for it
",5.0 out of 5 stars
"
Best value for money MB
","
Pros:Battery lifeFanlessGreat keyboardM1 is blazing fast
",5.0 out of 5 stars
"
Could this colour be anymore perfect?
","
Loved the colour. if you are fond of rose gold, I highly recommend this one.
",5.0 out of 5 stars
"
AWESOME MAC
","




                    The media could not be loaded.
                



 IT IS BETTTEREST PRODUCT THAN OTHER LEADING BRANDS.MI CHIP PROCESSOR’S WORK IS TOO AWESOME.EVERYTHING LIKE DESIGN WEIGHT DIFFERENT PARTS SCREEN ETC IS APPRICIABLE.I WANT TO GIVE MORE THAN TEN POINTS VALUE FOR MONEY 👌😀❤️🌈💃🏿
",5.0 out of 5 stars
"
Easy to use and fast. Value for money
","
Really fast and impossible to lag
",5.0 out of 5 stars
"
A Nice one absolutely
","




                    The media could not be loaded.
                


",5.0 out of 5 stars
"
Absolutely pro performance
","
Go only if you have intense usage from a laptop other wise any mid to low range laptop is enough
",5.0 out of 5 stars
"
Value+ for money
","
There are a number of feature reviews available on public forums... we may guided by them. I am a happy user.
",5.0 out of 5 stars
"
Revolutionary.
","
As good as it gets. Beautiful design, screen. Great keyboard, great speakers. Wonderful build quality. With M1 chips, Apple has once again done what it always does - revolutsonarized the game.
",5.0 out of 5 stars
"
Lightning Speed M1: but heats up like old mac
","
Lightning speed of M1. Beautiful rose gold. A breakthrough in technology.Heating- yes it does get heated up. I am updating my review after a month. Rest all good
",5.0 out of 5 stars
"
Next level laptop
","
From snappy performance to battery life to ease of use;not one,but  many great features which are not available  even to the laptop double its price.
",5.0 out of 5 stars
"
Keyboard and trackpad not working within 10 days
","
I haven’t had such horrible experience with any of my previous laptops as I am having with this one. The keyboard and trackpad stopped working within 10 days. Amazon wouldn’t replace it since it’s outside their 7 days replacement policy. And Apple won’t replace it since only part replacement is possible under the warranty. Took it to service centre. They didn’t find the problem and simply formatted the laptop and it was working. Although, after 2 days same problem was happening. Called apple support and they asked to format again. On formatting, it is working currently but who knows when I have to format again.
",1.0 out of 5 stars
"
Pretty Good
","
I dislike the fact that we have to buy a separate converter for USB and Mouse.
",5.0 out of 5 stars
"
Looks awesome ..
","
Good upgrade from MacBook Pro 2012 to MacBook Air M1 chip .. still using MacBook Pro after upgrading ram and using SSD 😅
",5.0 out of 5 stars
"
Poor experience with product replacement, defective product delivered
","
Apple products are unquestionably the best. But, discounts offered can land you with a defective product. I had heard this from retail stores, but, also experienced it. This Rose Gold macbook Air M1 turned out to have current discharge from the body on using it while being plugged to power.Amazon sent someone to verify the problem. Over it was done, there were at least 7-10 calls that i had to do to follow up on replacement. They never replaced it. Instead they finally at the end of one month of follow ups, forced a refund.Overall, it was a distasteful experience.
",1.0 out of 5 stars
"
Worth every penny
","
Sleek, light weight and supports heavy editing softwares without slowing it down.
",5.0 out of 5 stars
"
I’m using this from last one month and I’m really loving this M1 chip experience!
","




                    The media could not be loaded.
                


",5.0 out of 5 stars
"
Battery life & Snappy performance
","
Remains cold even after extensive usage
",5.0 out of 5 stars
"
Love this product
",,5.0 out of 5 stars
"
The best macbook air till date
","
Amazing speed and works flawlessly. Does not get hot like previous intel model.M1 models are a game changer. Apple will rule processor universe in future and M1 is only an entry processor.
",5.0 out of 5 stars
"
Wow product
","
Just wow.  But battery life seems to be lower than projected in adds.
",5.0 out of 5 stars
"
Overall Great! Go for it!
","
Performance / Battery is Great!
",5.0 out of 5 stars
"
Value for money
","
Amazing macbook. I loved it.
",5.0 out of 5 stars
"
Powerful machine..
","
No need to say anything as this is Apple macbook air powered by M1.
",5.0 out of 5 stars
"
World Best Product- Apple
","
This is awesome item.
",5.0 out of 5 stars
"
Best laptop
","
Best product everAmazon imported and directly delivered to me
",5.0 out of 5 stars
"
Most beautiful laptop
","
My first most light weight laptop I ever used
",5.0 out of 5 stars
"
Beast Machine
","
Awesome laptopMatelic built quality is superb
",5.0 out of 5 stars
"
This laptop is a beast with beauty
","
Best in class laptop no hanging issues
",5.0 out of 5 stars
"
Great
","
Best product i even use in my life.
",5.0 out of 5 stars
"
Massive upgrade from previous Model
","
Amazing battery life and great performance
",5.0 out of 5 stars
"
Go for it blindly
","
Just buy it , altogether on different level . its a beast .
",5.0 out of 5 stars
"
Good product
","
Good product
",3.0 out of 5 stars
"
Amazing Apple product
","
Smooth Ness monster, expected little bit lighter
",5.0 out of 5 stars
"
Apple At Their Best
","
Love the notebook, Simply awesome
",5.0 out of 5 stars
"
Charging issue
","




                    The media could not be loaded.
                



 The charging cable is not working just after few uses.. kindly change the cable and the adapter..It does not charge at all.Replace itAnd it is not charging at all. When connected through other chargers
",1.0 out of 5 stars
"
Wonderful
","
Wonderful laptop.. Easy to carry and I love it..Battery backup is awesome and crystal clear display. Worth the money.
",5.0 out of 5 stars
"
Great product
","
Very good product
",5.0 out of 5 stars
"
I loveeeee macbook
","
I love my macbook
",5.0 out of 5 stars
"
The M1 MacAir- The macbook we deserve
","
Without a doubt one of the most powerful devices out there.
",5.0 out of 5 stars
"
Good quality
","
I like it
",5.0 out of 5 stars
"
Worth the bucks
","
Good battery life
",5.0 out of 5 stars
"
MacBook 😍
","
Best one
",5.0 out of 5 stars
"
About packaging
","
All are good.the bag must be there
",2.0 out of 5 stars
"
Excellent
","
Love it
",5.0 out of 5 stars
"
Worth it
","
Love it m1 is just awesome
",5.0 out of 5 stars
"
Sexy piece 🥰🥰🥰
","
😊
",5.0 out of 5 stars
"
Must purchase
","
Awesome 👨‍💻
",5.0 out of 5 stars
"
Very good product
","
Just loving it
",5.0 out of 5 stars
"
Love at first sight!
","
Best laptop ever owned!
",5.0 out of 5 stars
"
Madhurendra
","
Very good laptop.
",5.0 out of 5 stars
"
Good product
","
Very happy with purchase
",5.0 out of 5 stars
"
Became dead after one week
","
Became dead after one week of proper functioning. Need to be taken to customer care and they took more than 20dayz to fix the issue.Such a horrible exp even after emptying the pocket.
",1.0 out of 5 stars
"
right shift key is not working from month of july 21
","
right shift key is not working from the month of July 21. I suggest buying from store instead of amazon as we know whom to approach in such scenarios
",1.0 out of 5 stars
"
MacBook Imbalance on flat surface
","
The MacBook while being all that is advertised to be is imbalanced when kept on a flat surface. This is not a nice feel for a premium device like MacBook.
",1.0 out of 5 stars
"
System hangs and its irritating
","




                    The media could not be loaded.
                


",1.0 out of 5 stars
"
Earthing and overheating charger issues
","
Charger heating issues and you will earthing issues in laptop.We need to buy separate adapter charger to overcome earthing.
",1.0 out of 5 stars
"
Though cost compare to apple site
","
I am checked the apple  16 fb variant is 1 lakh bit hear 8 fb ram variant is 1.05 lakh
",5.0 out of 5 stars
"
This Thing Is Insane
","
1-See To Be Honest This Thing Is Not At All for gaming stuff I Have Tried Csgo,Rise of tomb raider Everything Works Really Smooth But Also It Has No Fans There Is Overheating Issue Sometimes And That can Harm your Laptop And Also Not good if you are planning to use it for long time2-I Use it for my basic Tasks Like Browsing,Studies No Such Complicated Work3-This Thing Has Such A Good Passive Cooling System That It Never Heats Up That Easily Unless you are Playing Some Game.4-Atlast Would RecommendI Know M2 Has Launched But Still that thing cost 1.2 Lakhs That's InsaneIf you are On A Budget Then Go For M1More than enough for basic editing,Daily work etc
",5.0 out of 5 stars
"
Awful
","
Awful. Damaged product. Not value for money.
",1.0 out of 5 stars
"
I can't understand how it becomes out of order with in 3 months ? Display is becoming black.
","
For doing study only.
",1.0 out of 5 stars
"
very late delivery even i m prime member
","
I will not renew my prime membership
",1.0 out of 5 stars
"
Overpriced
","
8gb of ram and 256gb of storage is too less for the price and performance is also okish. the operating system has useless animations everywhere and lacks basic functionality of connecting and transferring files(full access) from iphone and android(you cannot). usb-A port is Unavailable. Adapter is also not bundled.the macOS updates are buggy to the point it becomes unusable with random restarts. heating issues as well.the keyboard is simply trash.this is my first and last macbook purchase.the m1 chip inside is of no use unless you do video editing on final cut pro which you should buy separately.I would suggest to go with a windows laptop which will last you much longer if u have technical know how to get stuff done. you will get full control over your machine and you can install linux operating system after a few years as well.
",1.0 out of 5 stars
"
Great machine
","
Got this mac air @ ₹ 83,700Its just amazing. I was using windows laptop earlier and decided to switch to mac and after using for 2 weeks i can say its great ..Each and every part of this laptop is just amazing, its display, its speaker, its keyboard, its trackpad, and ofcourse its build quality.... Every part is amazing.
",5.0 out of 5 stars
"
If। a college student buy from apple store of education
","
It's the best laptop for students as well as adults.I would recommend if you are a university student buy the macbook from apple store for education(online) where you will get this at a price of 83,000 only,that's almost 9to 10000 off!
",4.0 out of 5 stars
"
Bluetooth issues
","
Bluetooth not working properly with my airpods pro. Disconnects after a minute then I have to connect it manualy... .
",3.0 out of 5 stars
"
Best laptop at affordable price
",,5.0 out of 5 stars
"
Affordable high quality laptop (Long term review)
","
Pros:- If you’re switching from an older laptop like I did, the speed of the laptop is going to blow you away. Apple has really broken ground with their processors- Thin and light form factor- QHD screen / Retina Display- The battery life is really good. That’s again thanks to the power efficiency of the M1. I could easily get an entire work day without a charger- Aluminium unibody- Magic keyboard and best in class trackpad- USB C charging point Cons:- Lack of ports and variety does hinder usage. I’m using it with a dock to connect to a monitor, keyboard and mouse- full charge takes time. This is a bummer in the age of fast charging products- can notice the slowdowns when there are too many browser tabs open. Killing some apps resolves this tho- the thin body is a double edged sword. It can flex when under pressure like in a bag. I had to diagonally apply pressure to straighten it.- while the USB C charging point is a boon, the magnetic charging port from older models is missed- 60Hz screen- Subpar cameraI upgraded from a 2013 MacBook Pro to this and I’m not disappointed but yes, there is room for improvement. I cannot do away with MacBooks because of the connected ecosystem and my work flow. Despite the demerits - can score this 4/5.
",4.0 out of 5 stars
"
The only value for money Apple product that exists
","
Apple is not considered for value for money, but this laptop has the most value for money I've ever got. This is a ~1L laptop but it performs better than 2.5-3L laptops. Getting this on a deal is something you won't repent in the next 5-6 years.
",5.0 out of 5 stars
"
Beauty with beast! 💻
","
Purchased it through apple site.Certainly the best option available if one wants to experience speed.Choose this if you want to experience:- Speed with multitasking- Enhanced battery life (Around 15 hours)- Best in class Design and looks- Superb Display- Easy handling- No fan/heat issuesCons:- Optimization of some Intel apps with M1 chip but manageable.
",5.0 out of 5 stars
"
Best thing ever
","
This is the best laptop ever to buy . No words for how amazing this is. Think grant think apple .
",5.0 out of 5 stars
"
Best display and performance
","




                    The media could not be loaded.
                



 Very good laptop for creators as well as productivity worth buying it i missed on great indian sale .. but still it worth price
",5.0 out of 5 stars
"
Motherboard dead in a year. Don't trust them!
","
Bought MacBook Air 2020 i3 model in 2020 and after using exactly for an year it turned off automatically and was not turning on. The logic board is dead and costs around half the price of the laptop.....never trust the apple products
",1.0 out of 5 stars
"
MacBook ? No please  ! NEVER  ever again !
","
After having been an avid windows user through HP/dell laptops , I too got bitten by the bug of owning an apple product . So went and bought an apple MacBook Air with MI chip in sep 21 . First impressions were : wow , such a beautiful piece , great display , great sound quality etc etc . Needed adjustment to working with a mac after being with windows throughout but saw that as a thing I would eventually overcome . Fast  forward 4 months of usage and despite the extreme delicate handling of the laptop , one fine day without any cause , suddenly the display went off and I started seeing a blank screen . Spoke to apple customer care , was directed to got to the local service centre , went there only to be told that warranty doesn’t hold in this case as the display would fall under accidental damage . Accident ???But when did that happen ?  It neither fell down , neither did I keep anything heavy on it nor did I close it , nor was it being charged at that time !!!! . tried telling this to the service centre , then called up the customer care , shared the pics of the display and asked the same thing again , how can they call it an accident when no accident has happened , Got the best reply ever : Only you know or God knows how it happened . Wow , what a wonderful reply ! Apple is out of it . It’s between you and the grand master now . So what do I do now ? Get the display repaired at a cost of Rs 32,000 .  Wait !  what ? 32 k ?So guys , I have had a very bad experience with the product as well as with the service centre and customer care . I am wary of getting the display  repaired since I don’t know what caused the damage in the first place so what is the guarantee that the repaired screen will not suffer the same damage again .Now I am back to searching for a new HP / dell /Lenovo laptop for myself . Missing the sturdiness , economical maintenance ( a new display in this would cost abt 5k) and the windows interface . Bye Bye MacBook. And thanks to Apple for the worst support and care for their customers .
",2.0 out of 5 stars
"
Screen cracking with no physical impact. Extremely fragile
","
Screen cracked within 10 days without any physical impact.Now apple service centre is asking 30k plus for repair. There have been multiple reports of the same hapenning to other peopleThe hinge is also very tight. Can't open with one hand
",1.0 out of 5 stars
"
Worst Product - Pls dont get fooled
","
This laptop hangs  a lot. The screen resolution is low & bursts when zoomed in. Battery life is not great in performance as per the mac products
",1.0 out of 5 stars
"
You are very bad and I will be there in the morning and I am a good friend and I am
","
I hate this computer it is not worth the money it broke very easly aand it is fake. I bought it and was  a toy my little brother let ked it
",1.0 out of 5 stars
"
Price is too high
",,1.0 out of 5 stars
"
MacBook Air - This is my first MAC laptop.
","
Alright, I have been a long time Windows User, and I must say that this laptop has been quite amazing. I mostly use this for minor video editing, using my cloud apps, working on my projects, coding and development, and for watching videos and browsing constantly. I had slightly dipped my toe in the Apple ecosystem back in 2020 when I had purchased an Ipad, which became my main computer for web browsing and reading books device. It also made me not use my main Windows computer even less as pretty much 60 percent of my workflow was transferred to my iPad. Now this MacBook has become my main device for basically every computing task I can think of. The typing experience has been stellar, quite simply the best keyboard on a laptop hands down! Also the built quality and the hinge design of this laptop made me feel safe to use this as frequently as I want and for as long as I want.My experience with Windows was on a sharp decline from being quite usable to getting in the way of my productivity. The amount of maintenance that my Windows PC requires was mind boggling, especially towards the end of its life cycle. This laptop was preceded by a computer with an FX 6300 chip and 8 gigs of RAM. So naturally, this was just a massive improvement. This laptop has scored 3 times the score of my previous computer on GeekBench. I can feel that difference in general usability and I personally feel that by daily drivering this laptop I have become a part of a revolution in the computing space. The apps in this mac have never taken more than 5 seconds to boot. Doesnt matter if the app is x86 or an ARM based app, all of them are super optimised. Also almost every general app has a 64 bit version out now so you can have that app in your system regardless. Now I realise that most people who will be buying this laptop are going to be either artists or developers, but even if you are a general user who wants a decent computer to learn stuff on or to use it for spreadsheet or document work, then this laptop is value for money, provided you have the budget for it. However, you do pay the Apple Tax with this product much like you do with every other product that the company has released in the country. If you can get it from US or UK, it is worth getting from there as you will obviously save copious amounts of money and you can also redeem the 1 year of international warranty should the need arise.
",5.0 out of 5 stars
"
Super excited
","
If we could get it for around 70-75k with some kind of discount that would b huge.. anyways, super excited.
",5.0 out of 5 stars
"
THE BEST!
","
Best in class. Performance, Display, Battery backup are above excellent.A must have for every tech geekBought this after selling my Yamaha R15, but no regrets.... It's speed is better than R15. 😅
",5.0 out of 5 stars
"
Value for money purchase
","
This is one of the best laptop I have used in the recent times. Whatever other positive reviews have stated is totally correct. Best thing about this laptop is that it stays cool no matter what you do. It has the best battery backup out there. I am getting around 14-15 hours on a single charge. The display is top notch with great viewing angles and good brightness levels. The output from speakers is a melody to your ears. I won't say a word about the chip. I think even after m1 pro is released, this would be the one that will sell in numbers because former would cost around 2 lakh in India. Most of the softwares are now available for Aarch64. I am a developer and still haven't installed Rosetta 2. Recommend to use Safari as your daily browser as it saves a lot of battery life and it's blazing fast. Will add a 3 month review after some time.
",5.0 out of 5 stars
"
Decent And Best Laptop Ever
","
One of the best laptop in the segment, don't think too much before buying it. I thought screen size would be small for me as a programmer but its quite decent. Keyboard and Trackpad are massive and excellent. Thankyou apple for the best laptop.
",5.0 out of 5 stars
"
The best buy so far
","
I just love the experience. I wanted something new & fast. This product is the best companion for you. Do pick this even if you have to pay a little extra.
",5.0 out of 5 stars
"
No chances being fake, Good seller, if malfunctioning use warranty with apple
","
Great Product..Full warranty with Apple..
",5.0 out of 5 stars
"
Excellent performance
","
Excellent performance
",5.0 out of 5 stars
"
Amazingly beautiful and sturdy laptop
","
Bought this laptop almost a 3 weeks back. This has been a perfect companion for all the computer related work. Transition from windows to Mac has been smoooth with all the available training online. The stability and battery with this macbook after M1 upgrade is phenomenal. It is quite long lasting machine and will prove to be...
",5.0 out of 5 stars
"
Insane machine!
","
True beast in every aspect, except for its dimensions, my first apple product and I am glad that I purchased this instead of going for a Windows laptop.
",5.0 out of 5 stars
"
Its Simply Excellent ! Super-fast, Smooth and Battery life also Awesome.
","
The product is very good.. Best delivery by Amazon... Super-fast, Smooth and Battery life also Awesome. Macbook Air Gold color looks similar to Rose Gold and its so nice. Its so light and no need to think when it comes to Quality.
",5.0 out of 5 stars
"
Amazing laptop.!!!
","
Got this laptop as an Anniversary gift...This is tye best laptop I have used so far...battery performance is too good...it is so easy to carry owing to its light weight.
",5.0 out of 5 stars
"
Small screen size
","
Giving it 4 star just because screen size could have been 14 atleast.Also no fast charging is available .
",4.0 out of 5 stars
"
Value for Money
","
A bit expensive when we compare with today's intel or AMD based windows laptops with rtx 30 graphics . But this apple M1 terms of overall performance . It is far beyond what windows laptops can offer in same segment . 💻💻💻Please give a like to my comment . Thank you Amazon . 💖💝⭐️🌟🎉🎉💐💐
",5.0 out of 5 stars
"
The best value for money Macbook in years.
","
The M1 obliterates other laptops in price to value comparisons. While it is not necessarily the powerhouse some might claim - it breezes through almost all regular daily use scenarios. It’s well built - has a keyboard that’s miles better than the ones in the past few years, a decent screen - and is possibly one of the easiest macs to recommend. If this fits your budget - and you’re not a heavy gamer or professional video editor or something along those lines - go for this blindly. It’s that good.
",5.0 out of 5 stars
"
Best
",,5.0 out of 5 stars
"
ITS A GREAT PRODUCT BY APPLE. 100% SATISFIED
","
I WAS A 2019 MACBOOK PRO USER BEFORE GETTING THIS MACHINE BUT AFTER USING IT FOR A WHILE I FEEL THIS PRODUCT IS EVEN BETTER THAN THE PRO IN MY VIEW/ BECAUSE1=MORE PORTABLE2=GREAT BATTERY3= LIGHT WEIGHT4= FASTER M1 CHIP
",5.0 out of 5 stars
"
Must buy product
","
Awesome product..thanks to Amazon..
",5.0 out of 5 stars
"
a perfect combination of slim and powerful
","
...but it would be better if 16gb version also launched as it was already there in american market
",5.0 out of 5 stars
"
Ausome Product
","
Most Beautiful and Ausome Product ... So smooth laptop.............. And it's processer is very best and fast laptop .... So Ausome
",5.0 out of 5 stars
"
Just amazing
","
Yes Amazon gives me the dates of 18th of October but when I saw that my parcel is already in my final destination I run to the courier office and I collect it from there only........the in-hand fill is amazing ..thanks to amazon
",5.0 out of 5 stars
"
Unmatched performance
","
Absolutely zero cons. 100% bang on product.
",5.0 out of 5 stars
"
Value for money
","




                    The media could not be loaded.
                



 Worthy to money.best experience
",5.0 out of 5 stars
"
Alright but camera is not much better😔
","
EVERY THING IS OK BUT JUST NUMBER OF APPS IT SUPPORTS IS VERY LIMITED.🙂
",4.0 out of 5 stars
"
This is a beast
","
I love apple brand.. They might be costly but they make powerful machines.. I love this powerful machine..
",5.0 out of 5 stars
"
I can’t believe I’m saying this but it’s actually great value for money
","
So if you are comfortable with the dongle situation and if the softwares you use can run on MacOS, this is the machine to go for. It has a 2K Display and mind blowing battery life. It’s a really good machine to work on. Especially coming from a 2.5kg Gaming Laptop this was a welcome change, you can actually use this like a LAP-top. The lack of fans means you can use it on virtually any surface.Points to note:It has just 2 Thunderbolt ports and a headphone jack, so you need to use Accesories with Bluetooth compatibility or a dongle.If you are getting the base model like me, get a secondary storage device. You’ll blow through the 256 Gigs even before you know it.
",4.0 out of 5 stars
"
The best you can have
","
Bought it at a price of 65k after all discount and laptop exchange. But it's awesome. The only con, which is normal for all apple product,  is connectivity. Need to purchase some more items to make it useable. One more drawback is MS office is not available and so I'm facing some problem.
",5.0 out of 5 stars
"
Most surprising fact is that heat  generated is so less without  cooling  fan.
","
Overall very good laptop as expected from Apple.
",5.0 out of 5 stars
"
Super product and blazing fast delivery
","
Great product by Apple. This replaced my 4 year old Macbook Air, which is still working great, its just storage felt a bit short.Being a Frontend Engineering this is more than enough for me, even it open scope for me to do some heavy duty things as well, and I guess it will handle that perfectly too.Impressed by Amazon's same day delivery. Happy to receive it same day.
",5.0 out of 5 stars
"
Brilliant product
","
Need a video on tips to fast install
",5.0 out of 5 stars
"
Best thing I bought this year.. thank you Amazon for the great offer
","
Everything is great .. go for it guys
",5.0 out of 5 stars
"
Undoubtedly the best !!!
","
Premium product, fast & sleek… won’t have to think of another laptop for atleast the next 5 years!! These apple products just keep going on & on.. was using the macbook air early 2015 model since 2016, exchanged and got this one from Amazon… the older one was still going strong… this one will too.. without any doubts
",5.0 out of 5 stars
"
So far so good!
","
A premium device for your premium needs. For people coming from Windows background, once you get used to mac, then there’ll be no turning back since the stark difference in speed, performance and experience won’t let you. Timeless design; Futureproof performance; Epic battery life. Apple’s new M1 venture is off to a good start and intel should definitely take a note or two (it’s finally time to move to the ARM architecture processors from the x86 architecture ones. If Apple can pull this out, Intel surely can)
",5.0 out of 5 stars
